season,player_name,team_abbreviation,age,player_height,player_weight
2022-23,A.J. Lawson,DAL,22,198.12,81.19296800000001
2022-23,AJ Green,MIL,23,195.58,86.18248
2022-23,AJ Griffin,ATL,19,198.12,99.79024
2016-17,AJ Hammons,DAL,24,213.36,117.93392
2009-10,AJ Price,IND,23,187.96,82.10015200000001
2010-11,AJ Price,IND,24,187.96,82.10015200000001
2011-12,AJ Price,IND,25,187.96,83.91452
2012-13,AJ Price,WAS,26,187.96,83.91452
2013-14,AJ Price,MIN,27,187.96,88.45044
2014-15,AJ Price,CLE,28,187.96,88.45044
2007-08,Aaron Brooks,HOU,23,182.88,73.028312
2008-09,Aaron Brooks,HOU,24,182.88,73.028312
2009-10,Aaron Brooks,HOU,25,182.88,73.028312
2010-11,Aaron Brooks,PHX,26,182.88,73.028312
2012-13,Aaron Brooks,HOU,28,182.88,73.028312
2013-14,Aaron Brooks,DEN,29,182.88,73.028312
2014-15,Aaron Brooks,CHI,30,182.88,73.028312
2015-16,Aaron Brooks,CHI,31,182.88,73.028312
2016-17,Aaron Brooks,IND,32,182.88,73.028312
2017-18,Aaron Brooks,MIN,33,182.88,73.028312
2014-15,Aaron Gordon,ORL,19,205.74,99.79024
2015-16,Aaron Gordon,ORL,20,205.74,99.79024
2016-17,Aaron Gordon,ORL,21,205.74,99.79024
2017-18,Aaron Gordon,ORL,22,205.74,99.79024
2018-19,Aaron Gordon,ORL,23,205.74,99.79024
2019-20,Aaron Gordon,ORL,24,203.2,106.59412
2020-21,Aaron Gordon,DEN,25,203.2,106.59412
2021-22,Aaron Gordon,DEN,26,203.2,106.59412
2022-23,Aaron Gordon,DEN,27,203.2,106.59412
2007-08,Aaron Gray,CHI,23,213.36,122.46984
2008-09,Aaron Gray,CHI,24,213.36,122.46984
2009-10,Aaron Gray,NOH,25,213.36,122.46984
2010-11,Aaron Gray,NOH,26,213.36,122.46984
2011-12,Aaron Gray,TOR,27,213.36,122.46984
2012-13,Aaron Gray,TOR,28,213.36,122.46984
2013-14,Aaron Gray,SAC,29,213.36,122.46984
2015-16,Aaron Harrison,CHA,21,198.12,95.25432
2016-17,Aaron Harrison,CHA,22,198.12,95.25432
2017-18,Aaron Harrison,DAL,23,198.12,95.25432
2021-22,Aaron Henry,PHI,22,195.58,95.25432
2018-19,Aaron Holiday,IND,22,185.42,83.91452
2019-20,Aaron Holiday,IND,23,182.88,83.91452
2020-21,Aaron Holiday,IND,24,182.88,83.91452
2021-22,Aaron Holiday,PHX,25,182.88,83.91452
2022-23,Aaron Holiday,ATL,26,182.88,83.91452
2017-18,Aaron Jackson,HOU,32,190.5,83.007336
2005-06,Aaron McKie,LAL,33,195.58,94.800728
2006-07,Aaron McKie,LAL,34,195.58,94.800728
2005-06,Aaron Miles,GSW,23,185.42,86.18248
2020-21,Aaron Nesmith,BOS,21,195.58,97.52228
2021-22,Aaron Nesmith,BOS,22,195.58,97.52228
2022-23,Aaron Nesmith,IND,23,195.58,97.52228
2021-22,Aaron Wiggins,OKC,23,193.04,86.18248
2022-23,Aaron Wiggins,OKC,24,195.58,86.18248
2005-06,Aaron Williams,NOK,34,205.74,106.59412
2006-07,Aaron Williams,LAC,35,205.74,106.59412
2007-08,Aaron Williams,LAC,36,205.74,106.59412
2017-18,Abdel Nader,BOS,24,198.12,104.32616
2018-19,Abdel Nader,OKC,25,198.12,102.0582
2019-20,Abdel Nader,OKC,26,195.58,102.0582
2020-21,Abdel Nader,PHX,27,195.58,102.0582
2021-22,Abdel Nader,PHX,28,195.58,102.0582
2007-08,Acie Law,ATL,23,190.5,88.45044
